M00	Program stop
M01	Optional stop
M02	Program end
M03	Spindle normal rotation
M04	Spindle reverse rotation
M05	Spindle stop
M06	Chuck unclamp (releasing workpiece)
M07	Chuck clamp (holding workpiece)
M08	Flood coolant ON
M09	Coolant OFF
M10	
M11	
M12	Milling spindle mode cancel (Turning mode selection)
M13	Milling tool normal rotation
M14	Milling tool reverse rotation
M15	Milling tool stop
M16	Spindle orientation 0° (for AJC)
M17	Spindle orientation 120° (for AJC)
M18	Spindle orientation 240° (for AJC)
M19	Spindle orientation position (for the robot to insert a workpiece)
M20	Robot service call
M21	Robot service call
M22	Robot service call
M23	Robot service call
M24	Robot service call
M25	Robot service call
M26	Robot service call
M27	Robot service call
M28	Robot service call
M29	Robot service call
M30	Reset & tape rewind
M31	Tail spindle & tailstock body advance (for 300/400-III/IIIT)
M32	Tail spindle & tailstock body retract (for 300/400-III/IIIT)
M33	Low chuck pressure
M34	High chuck pressure
M35	
M36	
M37	
M38	
M39	
M40	
M41	
M42	
M43	
M44	
M45	Air coolant blow ON (coolant stop: M09)
M46	
M47	
M48	Parts catcher advance
M49	Parts catcher retract
M50	
M51	Error detect OFF
M52	Error detect ON
M53	Chamfering OFF
M54	Chamfering ON
M55	Piece count
M56	Front door open
M57	Front door close
M58	Chuck air blast
M59	
M60	C-axis unclamp
M61	
M62	
M63	
M64	
M65	
M66	C-axis clamp
M67	C-axis brake (for machining by G01)
M68	Cycle bar feeder call 1
M69	Cycle bar feeder call 2
M70	
M71	
M72	Inside chuck clamp
M73	Outside chuck clamp
M74	Steady rest – milling head connection mode release
M75	Steady rest – milling head connection mode start
M76	
M77	
M78	
M79	
M80	
M81	Workpiece measurement start
M82	Workpiece measurement end
M83	Tool measurement start
M84	Tool measurement end
M85	
M86	Steady rest 1 unclamp
M87	Steady rest 1 clamp
M88	Steady rest 2 unclamp
M89	Steady rest 2 clamp
M90	
M91	
M92	
M93	
M94	
M95	
M96	"User macro interruption, valid"
M97	"User macro interruption, invalid"
M98	EIA ? EIA Subprogram call
M99	EIA ? EIA Return to main EIA program
M100	Workpiece measurement DIA start
M101	Workpiece measurement DIA end
M102	Workpiece measurement STP start
M103	Workpiece measurement STP end
M104	Workpiece measurement GRV start
M105	Workpiece measurement GRV end
M106	Workpiece measurement WID start
M107	Workpiece measurement WID end
M108	Workpiece measurement DIS start (chuck barrier release)
M109	Workpiece measurement DIS end
M110	Tool tip measurement TOL start
M111	Tool tip measurement TOL end
M112	External tool compensation EXT start
M113	External tool compensation EXT end
M114	Z-axis offset measurement ZOF start
M115	Z-axis offset measurement ZOF end
M116	C-axis offset measurement COF start
M117	C-axis offset measurement COF end
M118	
M119	
M120	Measurement data print out
M121	
M149	
M150	Workpiece unload demand to robot
M151	Milling spindle through air blow ON (Only for turning tools)
M152	Milling spindle through air blow OFF (Only for turning tools)
M153	Milling spindle through coolant ON
M154	Milling spindle through coolant OFF
M155	Chuck coolant ON (composed movement)
